Threads,Chunk,Static,Dynamic,Guided
01,1,0.044067,0.035292,0.036639
02,1,0.023030,0.063264,0.018813
04,1,0.012911,0.044199,0.009793
06,1,0.012666,0.029877,0.008224
08,1,0.016015,0.029127,0.006839
10,1,0.014337,0.028207,0.007070
12,1,0.015335,0.033408,0.007552
14,1,0.016726,0.033174,0.007890
16,1,0.013335,0.030962,0.008907
