Threads,Chunk,Static,Dynamic,Guided
01,5,0.040764,0.034968,0.036019
02,5,0.018348,0.020694,0.018539
04,5,0.010373,0.010586,0.011038
06,5,0.009862,0.009728,0.009240
08,5,0.008182,0.008708,0.008227
10,5,0.010076,0.010615,0.008612
12,5,0.008519,0.010535,0.007277
14,5,0.008114,0.010895,0.007532
16,5,0.009538,0.009381,0.007210
