Threads,Chunk,Static,Dynamic,Guided
01,10,0.038552,0.035677,0.035187
02,10,0.018486,0.018188,0.018071
04,10,0.009270,0.009266,0.009256
06,10,0.010120,0.007933,0.007836
08,10,0.009319,0.006607,0.006808
10,10,0.008707,0.008509,0.006958
12,10,0.009028,0.007148,0.006764
14,10,0.009110,0.009602,0.007401
16,10,0.010149,0.007434,0.007008
